URL,Tables_extracted_with_Html,Tables_extracted_with_Wikitext
https://en.wikipedia.org/wiki/Comparison_of_audio_synthesis_environments,4,4
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(Document_Object_Model),14,13
https://en.wikipedia.org/wiki/Comparison_of_JavaScript_charting_frameworks,1,1
https://en.wikipedia.org/wiki/Comparison_of_Asian_national_space_programs,41,41
https://en.wikipedia.org/wiki/Comparison_of_CRT_LCD_Plasma_and_OLED,1,1
https://en.wikipedia.org/wiki/Comparison_of_NMDC_Software,6,6
https://en.wikipedia.org/wiki/Comparison_of_office_suites,4,4
https://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses,3,3
https://en.wikipedia.org/wiki/Comparison_of_Internet_Relay_Chat_bots,1,1
https://en.wikipedia.org/wiki/Comparison_of_email_clients,10,11
https://en.wikipedia.org/wiki/Comparison_of_CAD_CAM_and_CAE_file_viewers,1,1
https://en.wikipedia.org/wiki/Comparison_of_AMD_CPU_microarchitectures,1,1
https://en.wikipedia.org/wiki/Comparison_of_desktop_publishing_software,5,5
https://en.wikipedia.org/wiki/Comparison_of_Portuguese_and_Spanish,21,21
https://en.wikipedia.org/wiki/Comparison_of_linear_algebra_libraries,2,2
https://en.wikipedia.org/wiki/Comparison_of_OpenDocument_software,5,5
https://en.wikipedia.org/wiki/Comparison_of_browser_synchronizers,4,5
https://en.wikipedia.org/wiki/Comparison_of_disk_encryption_software,5,5
https://en.wikipedia.org/wiki/Comparison_of_Internet_Relay_Chat_clients,7,7
https://en.wikipedia.org/wiki/Comparison_of_chess_video_games,2,2
https://en.wikipedia.org/wiki/Comparison_of_raster_graphics_editors,5,7
https://en.wikipedia.org/wiki/Comparison_of_PSA_systems,1,1
https://en.wikipedia.org/wiki/Comparison_of_MUD_clients,4,4
https://en.wikipedia.org/wiki/Comparison_of_open-source_wireless_drivers,10,10
https://en.wikipedia.org/wiki/Comparison_of_instruction_set_architectures,1,1
https://en.wikipedia.org/wiki/Comparison_of_programming_languages_(array),5,5
https://en.wikipedia.org/wiki/Comparison_of_archive_formats,3,3
https://en.wikipedia.org/wiki/Comparison_of_programming_languages_(strings),7,7
https://en.wikipedia.org/wiki/Comparison_of_American_and_British_English,4,4
https://en.wikipedia.org/wiki/List_of_BPEL_engines,1,1
https://en.wikipedia.org/wiki/Comparison_between_Esperanto_and_Ido,8,8
https://en.wikipedia.org/wiki/Comparison_of_file_archivers,4,5
https://en.wikipedia.org/wiki/Comparison_of_display_technology,1,1
https://en.wikipedia.org/wiki/Comparison_of_open-source_software_hosting_facilities,5,5
https://en.wikipedia.org/wiki/Comparison_between_Ido_and_Interlingua,2,2
https://en.wikipedia.org/wiki/Comparison_of_graphics_file_formats,2,2
https://en.wikipedia.org/wiki/Comparison_of_FTP_client_software,7,7
https://en.wikipedia.org/wiki/Comparison_of_orbital_rocket_engines,2,2
https://en.wikipedia.org/wiki/Comparison_of_digital_SLRs,1,1
https://en.wikipedia.org/wiki/List_of_FTP_server_software,5,5
https://en.wikipedia.org/wiki/Comparison_of_disc_authoring_software,7,7
https://en.wikipedia.org/wiki/Comparison_of_documentation_generators,8,8
https://en.wikipedia.org/wiki/Comparison_of_free_credit_report_websites,1,1
https://en.wikipedia.org/wiki/Comparison_of_Usenet_newsreaders,1,1
https://en.wikipedia.org/wiki/Comparison_of_TeX_editors,4,4
https://en.wikipedia.org/wiki/Comparison_of_personal_air_vehicles,2,2
https://en.wikipedia.org/wiki/Comparison_of_Java_Remote_Desktop_projects,2,2
https://en.wikipedia.org/wiki/Comparison_of_antivirus_software,10,10
https://en.wikipedia.org/wiki/Comparison_of_Unicode_encodings,2,2
https://en.wikipedia.org/wiki/Comparison_of_feed_aggregators,4,5
https://en.wikipedia.org/wiki/Comparison_of_ALGOL_68_and_C++,1,1
https://en.wikipedia.org/wiki/Comparison_of_CRM_systems,2,2
https://en.wikipedia.org/wiki/Comparison_of_EDA_software,2,2
https://en.wikipedia.org/wiki/Comparison_of_programming_languages,3,3
https://en.wikipedia.org/wiki/Comparison_of_application_servers,1,1
https://en.wikipedia.org/wiki/Comparison_of_open-source_operating_systems,8,8
https://en.wikipedia.org/wiki/Comparison_of_machine_translation_applications,2,2
https://en.wikipedia.org/wiki/Comparison_of_U.S._state_governments,4,4
https://en.wikipedia.org/wiki/Comparison_of_DOS_operating_systems,2,2
https://en.wikipedia.org/wiki/Comparison_of_iOS_e-book_reader_software,7,7
https://en.wikipedia.org/wiki/Comparison_of_development_estimation_software,2,2
https://en.wikipedia.org/wiki/Comparison_of_Microsoft_Windows_versions,19,19
https://en.wikipedia.org/wiki/Comparison_of_online_music_stores,1,1
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(HTML5),35,33
https://en.wikipedia.org/wiki/Comparison_of_XMPP_server_software,2,2
https://en.wikipedia.org/wiki/Comparison_of_handheld_game_consoles,3,3
https://en.wikipedia.org/wiki/Comparison_of_ATI_chipsets,4,4
https://en.wikipedia.org/wiki/Comparison_of_XML_editors,1,1
https://en.wikipedia.org/wiki/Comparison_of_file_sharing_applications,1,1
https://en.wikipedia.org/wiki/Comparison_of_C_Sharp_and_Java,21,21
https://en.wikipedia.org/wiki/Comparison_of_Prolog_implementations,5,5
https://en.wikipedia.org/wiki/Comparison_of_OpenGL_and_Direct3D,1,1
https://en.wikipedia.org/wiki/Comparison_of_help_desk_issue_tracking_software,1,1
https://en.wikipedia.org/wiki/Comparison_of_programming_languages_(object-oriented_programming),17,17
https://en.wikipedia.org/wiki/Comparison_of_download_managers,3,3
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(HTML5_canvas),35,33
https://en.wikipedia.org/wiki/Comparison_of_business_integration_software,2,2
https://en.wikipedia.org/wiki/Comparison_of_Internet_forum_software,3,3
https://en.wikipedia.org/wiki/Comparison_of_portable_media_players,7,7
https://en.wikipedia.org/wiki/Comparison_of_free_software_e-commerce_web_application_frameworks,16,16
https://en.wikipedia.org/wiki/Comparison_of_X_Window_System_desktop_environments,2,2
https://en.wikipedia.org/wiki/Comparison_of_anaerobic_and_aerobic_digestion,1,1
https://en.wikipedia.org/wiki/Comparison_of_neurofeedback_software,1,1
https://en.wikipedia.org/wiki/Comparison_of_Nintendo_portable_consoles,0,0
https://en.wikipedia.org/wiki/Comparison_of_high_definition_optical_disc_formats,2,0
https://en.wikipedia.org/wiki/Comparison_of_platform_virtualization_software,5,5
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(XHTML_1.1),24,23
https://en.wikipedia.org/wiki/Comparison_of_orbital_launch_systems,2,2
https://en.wikipedia.org/wiki/Comparison_of_facial_image_datasets,37,37
https://en.wikipedia.org/wiki/Comparison_between_Esperanto_and_Novial,5,5
https://en.wikipedia.org/wiki/Comparison_of_object_database_management_systems,1,1
https://en.wikipedia.org/wiki/Comparison_(grammar),2,2
https://en.wikipedia.org/wiki/Comparison_of_packet_analyzers,3,3
https://en.wikipedia.org/wiki/Comparison_of_programming_languages_(string_functions),45,25
https://en.wikipedia.org/wiki/Comparison_of_3D_computer_graphics_software,12,12
https://en.wikipedia.org/wiki/Comparison_of_firewalls,7,7
https://en.wikipedia.org/wiki/Comparison_of_X_window_managers,1,1
https://en.wikipedia.org/wiki/Comparison_of_Norwegian_Bokmål_and_Standard_Danish,6,6
https://en.wikipedia.org/wiki/Comparison_of_alcopops,0,0
https://en.wikipedia.org/wiki/Comparison_of_Hokkien_writing_systems,4,0
https://en.wikipedia.org/wiki/Comparison_of_metadata_editors,1,1
https://en.wikipedia.org/wiki/Comparison_of_mail_servers,3,3
https://en.wikipedia.org/wiki/Comparison_of_cluster_software,2,2
https://en.wikipedia.org/wiki/Comparison_of_national_standards_of_Chinese,1,1
https://en.wikipedia.org/wiki/Comparison_of_Fukushima_and_Chernobyl_nuclear_accidents,4,4
https://en.wikipedia.org/wiki/Comparison_of_Java_virtual_machines,4,4
https://en.wikipedia.org/wiki/Comparison_of_Vector_Formats_(GIS),2,2
https://en.wikipedia.org/wiki/Comparison_of_Office_Open_XML_software,3,3
https://en.wikipedia.org/wiki/Comparison_of_microblogging_services,3,3
https://en.wikipedia.org/wiki/Comparison_of_file_managers,8,8
https://en.wikipedia.org/wiki/Comparison_of_MD_and_DO_in_the_United_States,0,1
https://en.wikipedia.org/wiki/Comparison_of_802.15.4_radio_modules,2,2
https://en.wikipedia.org/wiki/Comparison_of_file_hosting_services,1,1
https://en.wikipedia.org/wiki/Comparison_of_relational_database_management_systems,11,11
Total,1612,1544
